platform,company,board_url,api_url,total_jobs,intern_roles,swe_internships_open,swe_intern_2027,sample_swe_intern
ashby,extropic,https://jobs.ashbyhq.com/extropic,https://api.ashbyhq.com/posting-api/job-board/extropic,7,0,0,0,
ashby,moderntreasury,https://jobs.ashbyhq.com/moderntreasury,https://api.ashbyhq.com/posting-api/job-board/moderntreasury,7,0,0,0,
ashby,neon,https://jobs.ashbyhq.com/neon,https://api.ashbyhq.com/posting-api/job-board/neon,7,0,0,0,
ashby,sweep,https://jobs.ashbyhq.com/sweep,https://api.ashbyhq.com/posting-api/job-board/sweep,7,0,0,0,
ashby,gainsight,https://jobs.ashbyhq.com/gainsight,https://api.ashbyhq.com/posting-api/job-board/gainsight,6,0,0,0,
ashby,atlan,https://jobs.ashbyhq.com/atlan,https://api.ashbyhq.com/posting-api/job-board/atlan,5,0,0,0,
ashby,fullstory,https://jobs.ashbyhq.com/fullstory,https://api.ashbyhq.com/posting-api/job-board/fullstory,5,0,0,0,
ashby,gradient,https://jobs.ashbyhq.com/gradient,https://api.ashbyhq.com/posting-api/job-board/gradient,5,0,0,0,
ashby,knock,https://jobs.ashbyhq.com/knock,https://api.ashbyhq.com/posting-api/job-board/knock,5,0,0,0,
ashby,lance,https://jobs.ashbyhq.com/lance,https://api.ashbyhq.com/posting-api/job-board/lance,5,0,0,0,
ashby,lancedb,https://jobs.ashbyhq.com/lancedb,https://api.ashbyhq.com/posting-api/job-board/lancedb,5,0,0,0,
ashby,lightdash,https://jobs.ashbyhq.com/lightdash,https://api.ashbyhq.com/posting-api/job-board/lightdash,5,0,0,0,
ashby,prefect,https://jobs.ashbyhq.com/prefect,https://api.ashbyhq.com/posting-api/job-board/prefect,5,0,0,0,
ashby,stytch,https://jobs.ashbyhq.com/stytch,https://api.ashbyhq.com/posting-api/job-board/stytch,5,0,0,0,
lever,brilliant,https://jobs.lever.co/brilliant,https://api.lever.co/v0/postings/brilliant?mode=json,4,0,0,0,
ashby,doppler,https://jobs.ashbyhq.com/doppler,https://api.ashbyhq.com/posting-api/job-board/doppler,4,0,0,0,
ashby,magiceden,https://jobs.ashbyhq.com/magiceden,https://api.ashbyhq.com/posting-api/job-board/magiceden,4,0,0,0,
ashby,opensea,https://jobs.ashbyhq.com/opensea,https://api.ashbyhq.com/posting-api/job-board/opensea,4,0,0,0,
ashby,continue,https://jobs.ashbyhq.com/continue,https://api.ashbyhq.com/posting-api/job-board/continue,3,0,0,0,
ashby,datafold,https://jobs.ashbyhq.com/datafold,https://api.ashbyhq.com/posting-api/job-board/datafold,3,0,0,0,
ashby,dosu,https://jobs.ashbyhq.com/dosu,https://api.ashbyhq.com/posting-api/job-board/dosu,3,0,0,0,
ashby,greptile,https://jobs.ashbyhq.com/greptile,https://api.ashbyhq.com/posting-api/job-board/greptile,3,0,0,0,
ashby,materialize,https://jobs.ashbyhq.com/materialize,https://api.ashbyhq.com/posting-api/job-board/materialize,3,0,0,0,
lever,15five,https://jobs.lever.co/15five,https://api.lever.co/v0/postings/15five?mode=json,2,0,0,0,
ashby,deel,https://jobs.ashbyhq.com/deel,https://api.ashbyhq.com/posting-api/job-board/deel,1,0,0,0,
ashby,depot,https://jobs.ashbyhq.com/depot,https://api.ashbyhq.com/posting-api/job-board/depot,1,0,0,0,
ashby,ghost,https://jobs.ashbyhq.com/ghost,https://api.ashbyhq.com/posting-api/job-board/ghost,1,0,0,0,
ashby,gruntwork,https://jobs.ashbyhq.com/gruntwork,https://api.ashbyhq.com/posting-api/job-board/gruntwork,1,0,0,0,
ashby,hightouch,https://jobs.ashbyhq.com/hightouch,https://api.ashbyhq.com/posting-api/job-board/hightouch,1,0,0,0,
ashby,vitally,https://jobs.ashbyhq.com/vitally,https://api.ashbyhq.com/posting-api/job-board/vitally,1,0,0,0,
ashby,warpbuild,https://jobs.ashbyhq.com/warpbuild,https://api.ashbyhq.com/posting-api/job-board/warpbuild,1,0,0,0,
ashby,zed,https://jobs.ashbyhq.com/zed,https://api.ashbyhq.com/posting-api/job-board/zed,1,0,0,0,
ashby,airtable,https://jobs.ashbyhq.com/airtable,https://api.ashbyhq.com/posting-api/job-board/airtable,0,0,0,0,
ashby,bolt,https://jobs.ashbyhq.com/bolt,https://api.ashbyhq.com/posting-api/job-board/bolt,0,0,0,0,
ashby,catalyst,https://jobs.ashbyhq.com/catalyst,https://api.ashbyhq.com/posting-api/job-board/catalyst,0,0,0,0,
ashby,clerk,https://jobs.ashbyhq.com/clerk,https://api.ashbyhq.com/posting-api/job-board/clerk,0,0,0,0,
ashby,figure,https://jobs.ashbyhq.com/figure,https://api.ashbyhq.com/posting-api/job-board/figure,0,0,0,0,
ashby,kraken,https://jobs.ashbyhq.com/kraken,https://api.ashbyhq.com/posting-api/job-board/kraken,0,0,0,0,
ashby,marqeta,https://jobs.ashbyhq.com/marqeta,https://api.ashbyhq.com/posting-api/job-board/marqeta,0,0,0,0,
ashby,mercury,https://jobs.ashbyhq.com/mercury,https://api.ashbyhq.com/posting-api/job-board/mercury,0,0,0,0,
ashby,miro,https://jobs.ashbyhq.com/miro,https://api.ashbyhq.com/posting-api/job-board/miro,0,0,0,0,
ashby,raycast,https://jobs.ashbyhq.com/raycast,https://api.ashbyhq.com/posting-api/job-board/raycast,0,0,0,0,
ashby,snyk,https://jobs.ashbyhq.com/snyk,https://api.ashbyhq.com/posting-api/job-board/snyk,0,0,0,0,
ashby,trunk,https://jobs.ashbyhq.com/trunk,https://api.ashbyhq.com/posting-api/job-board/trunk,0,0,0,0,
ashby,vast,https://jobs.ashbyhq.com/vast,https://api.ashbyhq.com/posting-api/job-board/vast,0,0,0,0,
ashby,vercel,https://jobs.ashbyhq.com/vercel,https://api.ashbyhq.com/posting-api/job-board/vercel,0,0,0,0,
ashby,wiz,https://jobs.ashbyhq.com/wiz,https://api.ashbyhq.com/posting-api/job-board/wiz,0,0,0,0,
